frames,hit-ratio
1,0.01
2,0.0923333
3,0.145333
4,0.185333
5,0.219333
6,0.249333
7,0.275333
8,0.299
9,0.322333
10,0.344667
11,0.366333
12,0.387
13,0.406333
14,0.423
15,0.439
16,0.454333
17,0.469333
18,0.484
19,0.498667
20,0.513333
